Pais,Felicidad,GDP,PROMIS_mean,PROMIS_sd,PROMIS_median,PROMIS_iqr_low,PROMIS_iqr_high,PROMIS_patients
Finland,7.821000099,271837000000.0,45.8,8.3,44.9,37.5,51.8,5846.0
Denmark,7.636199951,356085000000.0,46.9,9.1,45.5,37.5,52.6,6422.0
Iceland,7.557499886,21718075725.0,,,,,,
Switzerland,7.511600018,752248000000.0,,,,,,
Netherlands,7.414899826,913865000000.0,47.6,8.2,46.9,41.8,52.8,8193.0
Luxembourg,7.403999805,73353132794.0,,,,,,
Sweden,7.384300232,541487000000.0,47.1,9.5,45.5,37.5,53.8,9690.0
Norway,7.365099907,362198000000.0,,,,,,
Israel,7.363800049,407101000000.0,,,,,,
New Zealand,7.199800014,211735000000.0,,,,,,
Austria,7.163000107,433258000000.0,45.5,7.6,43.7,37.5,50.2,15253.0
Australia,7.162099838,1327840000000.0,,,,,,
Ireland,7.040800095,425889000000.0,,,,,,
Germany,7.034100056,3846410000000.0,46.5,7.7,45.5,41.8,51.5,22996.0
Canada,7.025100231,1645420000000.0,,,,,,
United States,6.976799965,20893700000000.0,,,,,,
United Kingdom,6.942500114,2756900000000.0,,,,,,
Czechia,6.919799805,245339000000.0,44.3,7.5,42.7,37.5,48.6,7884.0
Belgium,6.804999828,521677000000.0,47.4,8.7,45.9,37.6,52.8,7790.0
France,6.686699867,2630320000000.0,48.2,8.3,47.6,42.7,53.6,13908.0
Bahrain,6.646900177,34723357447.0,,,,,,
Slovenia,6.630099773,53589609581.0,,,,,,
Costa Rica,6.581999779,62158002233.0,,,,,,
United Arab Emirates,6.576000214,358869000000.0,,,,,,
Saudi Arabia,6.522799969,703368000000.0,,,,,,
Singapore,6.480199814,345296000000.0,,,,,,
Romania,6.477000237,249511000000.0,45.0,8.7,42.7,37.5,51.2,15889.0
Spain,6.476299763,1281480000000.0,,,,,,
Uruguay,6.473599911,53560755047.0,,,,,,
Italy,6.466700077,1892570000000.0,44.1,7.9,42.7,37.5,48.7,39077.0
Kosovo,6.45510006,7716925356.0,,,,,,
Malta,6.446899891,14917038504.0,,,,,,
Lithuania,6.445600033,56546957475.0,,,,,,
Slovakia,6.390699863,105173000000.0,,,,,,
Estonia,6.340799809,30650285472.0,48.8,8.1,48.0,42.7,54.5,4850.0
